T,year,gross_bps,net_bps,overnight_bps,intraday_bps,onset_prevday_bps,press_conference
1994-02-04,1994,-227.56827048114437,-229.56827048114437,0.0,-227.56827048114437,-45.307443365696365,False
1994-03-22,1994,26.684456304202353,24.684456304202353,0.0,26.684456304202353,-26.613439787092076,False
1994-05-17,1994,147.3684210526316,145.3684210526316,7.0175438596487005,140.25245441795286,3.510003510003301,False
1994-07-06,1994,-13.951866062086316,-15.951866062086316,-38.36763167073598,24.50980392156854,52.594670406731495,False
1994-08-16,1994,70.85020242914908,68.85020242914908,6.747638326585204,64.05933917734474,-3.3726812816181617,False
1994-09-27,1994,-6.772773450728353,-8.772773450728353,0.0,-6.772773450728353,51.05513955071528,False
1994-11-15,1994,-33.355570380253496,-35.355570380253496,-10.006671114075605,-23.37228714524242,94.27609427609562,False
1994-12-20,1994,-30.695770804911593,-32.69577080491159,10.231923601637938,-40.885860306644204,13.66120218579292,False
1995-02-01,1995,-3.3178500331787486,-5.317850033178749,13.271400132714994,-16.567263088137494,39.97335109926725,False
1995-03-28,1995,0.0,-2.0,-24.790827393864625,24.852438645541763,40.44803982576228,False
1995-05-23,1995,91.96084247997449,89.96084247997449,17.79887273805958,74.03020432336317,110.9778044391141,False
1995-07-06,1995,128.2782212086664,126.2782212086664,2.8506271379691306,125.39184952978121,37.19599427753906,False
1995-08-22,1995,19.525801952580135,17.525801952580135,13.947001394700731,5.571030640669772,-27.816411682892728,False
1995-09-26,1995,-2.68384326355231,-4.68384326355231,29.522275899087624,-32.1113192400313,-16.07717041800627,False
1995-11-15,1995,100.50251256281229,98.50251256281229,10.579211848718018,89.82826948480627,-65.68575932737741,False
1995-12-19,1995,105.67010309278314,103.67010309278314,5.154639175257714,100.46367851622718,-192.1132457027308,False
1996-01-31,1996,104.14083808579333,102.14083808579333,-2.4795437639457685,106.64682539682335,85.02125531382632,False
1996-03-26,1996,48.053820278712855,46.053820278712855,-16.81883709754861,64.98194945848246,-19.184652278176895,False
1996-05-21,1996,-13.86001386001312,-15.86001386001312,16.170016170018453,-29.98154981549872,67.44186046511614,False
1996-07-03,1996,-20.85264133456888,-22.85264133456888,-4.633920296571725,-16.22624014835372,-36.934441366575086,False
1996-08-20,1996,-7.009345794392052,-9.009345794392052,2.336448598130314,-9.343611305769883,4.675081813929616,False
1996-09-24,1996,-2.2768670309647465,-4.2768670309647465,-9.107468123862317,6.836827711942384,-2.276348736626188,False
1996-11-13,1996,44.87179487179471,42.87179487179471,10.683760683760646,34.151547491996226,-29.825308904984915,False
1996-12-17,1996,79.87910189982684,77.87910189982684,-30.22452504317763,110.43741879601666,-127.87723785166128,False
1997-02-05,1997,-187.5987361769349,-189.5987361769349,13.823064770932536,-201.14375862749,61.5934830121212,False
1997-03-25,1997,-98.23182711198419,-100.23182711198419,-23.575638506876384,-74.8326112642772,139.4422310756971,False
1997-05-20,1997,119.80531636091251,117.80531636091251,-22.4634968176729,142.58911819887476,30.041306796846357,False
1997-07-02,1997,164.3931444561031,162.3931444561031,24.484085344524953,139.56734124215052,116.77282377919428,False
1997-08-19,1997,115.76438542730605,113.76438542730605,47.66768811712563,67.77363605557474,222.76366167768958,False
1997-09-30,1997,-104.84927916120435,-106.84927916120435,-39.31847968545177,-65.78947368421018,95.93119417796726,False
1997-11-12,1997,-206.29015894487733,-208.29015894487733,-84.54514710855676,-122.78308321964526,3.382949932340118,False
1997-12-16,1997,61.38933764135545,59.38933764135545,51.69628432956319,9.64320154291265,101.17493472584948,False
1998-02-04,1998,-12.414649286156543,-14.414649286156543,-40.34761018001154,28.046120286693288,75.0469043151969,False
1998-03-31,1998,34.227039361096615,32.227039361096615,54.192812321733896,-19.85815602836727,-5.701254275941592,False
1998-05-19,1998,67.81576716586635,65.81576716586635,36.73354054817723,30.96846846846857,-39.40332113706702,False
1998-07-01,1998,115.8301158301156,113.8301158301156,66.1886376172105,49.315068493149816,-68.47439057792282,False
1998-08-18,1998,184.54440599769305,182.54440599769305,57.67012687427852,126.14678899082632,212.01413427561988,False
1998-09-29,1998,-23.76708259061111,-25.76708259061111,17.825311942958333,-41.518386714115564,89.9280575539585,False
1998-11-17,1998,0.0,-2.0,-35.616438356164124,35.743744844651815,74.52387524151005,False
1998-12-22,1998,44.21326397919367,42.21326397919367,20.80624187256186,23.358422008823432,139.76793248944963,False
1999-02-03,1999,101.5857284440047,99.5857284440047,-34.68780971258578,136.74788662357162,-61.5611918246739,False
1999-03-30,1999,-52.41839409101834,-54.41839409101834,-92.92351679771271,40.88504088504141,201.7501215362172,False
1999-05-18,1999,-18.63064741499776,-20.63064741499776,25.61714019562178,-44.13472706155663,30.36673674375212,False
1999-06-30,1999,181.14259173246606,179.14259173246606,4.644681839294229,176.4159702878376,93.7646507266754,False
1999-08-24,1999,36.638424547743575,34.638424547743575,-29.768719945042488,66.60542030316962,191.36522753792295,False
1999-10-05,1999,-9.560229445506607,-11.560229445506607,-2.390057361377762,-7.17188620607101,177.57236682072408,False
1999-11-16,1999,83.65867261572734,81.65867261572734,34.57891801450064,48.91062694530879,23.47942754919563,False
1999-12-21,1999,152.21707478491052,150.21707478491052,-4.412089124200547,156.6983005958944,-72.27332457293012,False
2000-02-02,2000,8.869179600887733,6.869179600887733,24.390243902441266,-15.48330015483268,98.52216748768461,False
