ticker,dir,setup_date,fill_date,exit_date,exit_type,entry_px,exit_px,stop_px,hold_sessions,gross_bps,risk_bps,r_multiple,penetration_bps,asset_class
TLT,long,2007-04-13,2007-04-16,2007-04-19,time_moc,48.2665,48.8077,48.0412,3,112.128,46.694,2.401,13.729,bond
GLD,short,2007-04-20,2007-04-23,2007-04-26,time_moc,68.41,66.87,68.74,3,225.113,48.239,4.667,33.621,commodity
DBC,short,2007-04-25,2007-04-26,2007-05-01,time_moc,20.8569,20.8082,21.0862,3,23.364,109.935,0.213,50.623,commodity
GLD,long,2007-05-10,2007-05-11,2007-05-16,time_moc,66.13,65.6,65.79,3,-80.145,51.413,-1.559,46.877,commodity
UUP,short,2007-05-17,2007-05-18,2007-05-21,stop_gap,20.4487,20.5081,20.4934,1,-29.037,21.854,-1.329,12.073,dollar
UUP,short,2007-05-30,2007-05-31,2007-06-05,time_moc,20.4751,20.3764,20.5592,3,48.231,41.058,1.175,12.057,dollar
TLT,long,2007-06-05,2007-06-06,2007-06-07,stop_gap,47.5832,47.0923,47.4997,1,-103.158,17.553,-5.877,13.35,bond
SPY,long,2007-06-07,2007-06-08,2007-06-13,time_moc,105.0263,106.6482,104.6511,3,154.432,35.716,4.324,14.04,equity
GLD,long,2007-06-08,2007-06-11,2007-06-14,time_moc,64.53,64.6,63.73,3,10.848,123.973,0.088,120.873,commodity
UUP,long,2007-06-20,2007-06-21,2007-06-26,time_moc,20.6562,20.5657,19.8068,3,-43.825,411.216,-0.107,155.378,dollar
GLD,long,2007-06-26,2007-06-27,2007-07-02,time_moc,63.75,65.02,63.38,3,199.215,58.04,3.432,54.902,commodity
SPY,long,2007-06-26,2007-06-27,2007-07-02,time_moc,104.6711,107.0373,104.5522,3,226.06,11.363,19.894,9.452,equity
EEM,short,2007-07-23,2007-07-24,2007-07-27,time_moc,31.8771,29.2428,32.1648,3,826.374,90.276,9.154,84.001,equity
SPY,long,2007-07-26,2007-07-27,2007-07-30,stop_gap,104.5128,102.905,103.2194,1,-153.837,123.756,-1.243,112.678,equity
