entry_time,exit_time,side,qty,entry_price,exit_price,costs,net_pnl,exit_reason
2016-01-26 21:00:00+00:00,2016-01-27 21:00:00+00:00,LONG,63.0,160.37340673432408,158.5804366546756,3.014111346307999,-112.95711501785448,fomc_exit
2016-03-15 20:00:00+00:00,2016-03-16 20:00:00+00:00,LONG,58.0,170.46630725277763,171.4014032284151,2.9742503684086046,54.23556658697305,fomc_exit
2016-04-26 20:00:00+00:00,2016-04-27 20:00:00+00:00,LONG,56.0,177.06567957750718,177.377575050003,2.9773237988501933,17.466146459765923,fomc_exit
2016-06-14 20:00:00+00:00,2016-06-15 20:00:00+00:00,LONG,56.0,176.3205295602539,176.0219308174737,2.959676357532544,-16.72152959569121,fomc_exit
2016-07-26 20:00:00+00:00,2016-07-27 20:00:00+00:00,LONG,54.0,184.65785760079763,184.40658127267318,2.9894217168380237,-13.568921718720162,fomc_exit
2016-09-20 20:00:00+00:00,2016-09-21 20:00:00+00:00,LONG,54.0,182.76507996482096,184.7047065566815,2.9765076944423186,104.73983596046867,fomc_exit
2016-11-01 20:00:00+00:00,2016-11-02 20:00:00+00:00,LONG,54.0,180.68440934259323,179.50887020113854,2.9175642016712118,-63.47911363855337,fomc_exit
2016-12-13 21:00:00+00:00,2016-12-14 21:00:00+00:00,LONG,51.0,194.9579810596865,193.35016737891934,2.9705555574269056,-81.99849771912471,fomc_exit
2017-01-31 21:00:00+00:00,2017-02-01 21:00:00+00:00,LONG,50.0,195.95224791481664,196.01401558665296,2.9397471118954854,3.0883835918160685,fomc_exit
2017-03-14 20:00:00+00:00,2017-03-15 20:00:00+00:00,LONG,48.0,204.07421924722718,205.6834089318676,2.950256727195665,77.24110486274049,fomc_exit
2017-05-02 20:00:00+00:00,2017-05-03 20:00:00+00:00,LONG,48.0,206.53636375586004,206.2668654025287,2.9721830257572037,-12.935920959903797,fomc_exit
2017-06-13 20:00:00+00:00,2017-06-14 20:00:00+00:00,LONG,47.0,211.4843785015608,211.2306915278453,2.980141042486423,-11.92328776462864,fomc_exit
