entry_time,exit_time,side,qty,entry_price,exit_price,costs,net_pnl,exit_reason
2018-01-02 14:40:00+00:00,2018-01-02 14:40:00+00:00,SHORT,678.0,147.472626,147.82625910000002,16.02324180000818,-239.76324180001666,stop
2018-01-03 14:40:00+00:00,2018-01-03 21:00:00+00:00,LONG,665.0,149.99749950000003,151.092445,10.011242500012827,728.1387574999774,eod_flat
2018-01-04 14:40:00+00:00,2018-01-04 14:45:00+00:00,LONG,662.0,151.647582,151.3933449,16.044960200014486,-168.3049602000077,stop
2018-01-05 14:40:00+00:00,2018-01-05 15:20:00+00:00,SHORT,660.0,151.8024095,152.1367332,16.053641999997694,-220.6536419999992,stop
2018-01-08 14:40:00+00:00,2018-01-08 21:00:00+00:00,LONG,654.0,152.94764700000002,153.3623315,10.016337000009173,271.2036629999953,eod_flat
2018-01-09 14:40:00+00:00,2018-01-09 18:25:00+00:00,SHORT,653.0,153.6823155,153.8069169,16.064714200015004,-81.36471420001129,stop
2018-01-10 14:40:00+00:00,2018-01-10 14:55:00+00:00,LONG,656.0,152.83764150000002,152.46322719999998,16.015780800011726,-245.61578080002664,stop
2018-01-11 14:40:00+00:00,2018-01-11 14:40:00+00:00,SHORT,652.0,153.3023345,153.416874,15.999754000001985,-74.67975400000421,stop
2018-01-12 14:40:00+00:00,2018-01-12 21:00:00+00:00,LONG,648.0,154.09770450000002,155.3022345,10.024560000014162,780.5354399999851,eod_flat
2018-01-16 14:40:00+00:00,2018-01-16 15:40:00+00:00,LONG,643.0,156.59782950000002,156.21281469999997,16.08451640002349,-247.56451640003226,stop
2018-01-17 14:40:00+00:00,2018-01-17 16:15:00+00:00,SHORT,647.0,155.132243,155.6071149,16.092119299995943,-307.24211930000695,stop
2018-01-18 14:40:00+00:00,2018-01-18 14:40:00+00:00,SHORT,641.0,156.172191,156.4272051,16.034038100013618,-163.46403810000706,stop
2018-01-19 14:40:00+00:00,2018-01-19 14:40:00+00:00,SHORT,637.0,156.912154,157.1072799,16.00519830000391,-124.29519830001405,stop
2018-01-22 14:40:00+00:00,2018-01-22 14:40:00+00:00,SHORT,636.0,156.872156,156.95726340000002,15.968306400015535,-54.12830640001698,stop
2018-01-23 14:40:00+00:00,2018-01-23 21:00:00+00:00,LONG,627.0,159.19795950000002,159.95200200000002,10.005352500008257,472.7846474999982,eod_flat
2018-01-24 14:40:00+00:00,2018-01-24 15:15:00+00:00,SHORT,626.0,160.2419875,160.4276451,16.061657600010392,-116.22165760000826,stop
